media	libfribidi0
media	libgbm1
media	libgdk-pixbuf-2.0-0
media	libgdk-pixbuf2.0-common
media	libgirepository-2.0-0
media	libgl1
media	libgl1-mesa-dri
media	libglib2.0-0t64
media	libglib2.0-data
media	libglvnd0
media	libglx-mesa0
media	libglx0
media	libglycin-2-0
media	libgme0
media	libgraphite2-3
media	libgs-common
media	libgs10
media	libgs10-common
media	libgsm1
media	libgtk-3-0t64
media	libgtk-3-bin
media	libgtk-3-common
media	libharfbuzz0b
media	libheif-plugin-aomenc
media	libheif-plugin-dav1d
media	libheif-plugin-libde265
media	libheif-plugin-x265
media	libheif1
media	libhwy1t64
media	libibus-1.0-5
media	libice6
media	libidn12
media	libiec61883-0
media	libijs-0.35
media	libimath-3-2-30
media	libjack-jackd2-0
media	libjbig0
media	libjbig2dec0
media	libjpeg62-turbo
media	libjxl0.11
media	libjxr-tools
media	libjxr0t64
media	liblcms2-2
media	liblerc4
media	liblilv-0-0
media	liblqr-1-0
media	libltdl7
media	libmagickcore-7.q16-10
media	libmagickcore-7.q16-10-extra
media	libmagickwand-7.q16-10
media	libmp3lame0
media	libmpg123-0t64
media	libmysofa1
media	libnetpbm11t64
media	libnorm1t64
media	libnss-systemd
media	libnuma1
media	libogg0
media	libonnx1l
media	libonnxruntime-providers
media	libonnxruntime1.23
media	libopenal-data
media	libopenal1
media	libopenexr-3-4-33
media	libopenjp2-7
media	libopenjph0.28
media	libopenmpt0t64
media	libopus0
media	libpam-systemd
media	libpango-1.0-0
media	libpangocairo-1.0-0
media	libpangoft2-1.0-0
media	libpaper-utils
media	libpaper2
media	libpciaccess0
media	libpgm-5.3-0t64
media	libpipewire-0.3-0t64
media	libpipewire-0.3-common
media	libpixman-1-0
media	libplacebo360
media	libpng16-16t64
media	libproc2-1
media	libprotobuf-lite32t64
media	libprotobuf32t64
media	libpthreadpool0
media	libpulse0
media	librabbitmq4
media	librav1e0.8
media	libraw1394-11
media	libraw25
media	libre2-11
media	librist4
media	librsvg2-2
media	librsvg2-common
media	librubberband3
media	libsamplerate0
media	libsdl2-2.0-0
media	libsdl3-0
media	libsensors-config
media	libsensors5
media	libserd-0-0
media	libsharpyuv0
media	libshine3
media	libsm6
media	libsnappy1v5
media	libsndfile1
media	libsodium26
media	libsord-0-0
media	libsoxr0
media	libspa-0.2-modules
media	libspeex1
media	libsratom-0-0
media	libsrt1.5-gnutls
media	libssh-4
media	libsvtav1enc4
media	libswresample6
media	libswscale9
media	libthai-data
media	libthai0
media	libtheoradec2
media	libtheoraenc2
media	libtiff6
media	libtwolame0
media	libudfread3
media	libunibreak7
media	libusb-1.0-0
media	libva-drm2
media	libva-x11-2
media	libva2
media	libvdpau1
media	libvidstab1.2
media	libvorbis0a
media	libvorbisenc2
media	libvorbisfile3
media	libvpl2
media	libvpx12
media	libvulkan1
media	libwayland-client0
media	libwayland-cursor0
media	libwayland-egl1
media	libwebp7
media	libwebpdemux2
media	libwebpmux3
media	libwebrtc-audio-processing-1-3
media	libwmflite-0.2-7
media	libx11-xcb1
media	libx264-165
media	libx265-216
media	libxcb-dri3-0
