ffmpeg	libavcodec62 (>= 7:8.1.2), libavdevice62 (>= 7:8.1.2), libavfilter11 (>= 7:8.1.2), libavformat62 (>= 7:8.1.2), libavutil60 (>= 7:8.1.2), libc6 (>= 2.38), libgcc-s1 (>= 3.4), libplacebo360 (>= 7.360.0), libsdl2-2.0-0 (>= 2.0.12), libswresample6 (>= 7:8.1.2), libswscale9 (>= 7:8.1.2), zlib1g (>= 1:1.1.4)	
findutils		
fontconfig	libc6 (>= 2.38), libfontconfig1 (>= 2.17.1), libfreetype6 (>= 2.2.1), fontconfig-config	
fontconfig-config	debconf (>= 0.5) | debconf-2.0, fonts-dejavu-core | fonts-liberation | fonts-croscore | fonts-freefont-otf | fonts-freefont-ttf | fonts-urw-base35 | fonts-texgyre | fonts-noto-core	
fonts-dejavu-core	fonts-dejavu-mono	
fonts-dejavu-mono		
fonts-droid-fallback		fonts-noto-mono
fonts-noto-mono		
fonts-urw-base35	xfonts-utils	
fzf	libc6 (>= 2.34)	
gcc-15-base		
gcc-16-base		
ghostscript	libgs10 (= 10.07.1~dfsg-1), libc6 (>= 2.34)	
gir1.2-girepository-3.0	gir1.2-glib-2.0 (= 2.89.3-5), libgirepository-2.0-0 (= 2.89.3-5)	
gir1.2-glib-2.0	libglib2.0-0t64 (= 2.89.3-5)	
git	libc6 (>= 2.38), libcurl4-gnutls (>= 8.20.0-3~), libexpat1 (>= 2.0.1), libpcre2-8-0 (>= 10.34), zlib1g (>= 1:1.2.2), perl, liberror-perl, git-man (>> 1:2.55.0), git-man (<< 1:2.55.0-.)	ca-certificates, patch, less, ssh-client
git-man		
glycin-loaders	bubblewrap, libc6 (>= 2.39), libcairo2 (>= 1.4.10), libgcc-s1 (>= 4.2), libglib2.0-0t64 (>= 2.16.0), libheif1 (>= 1.17.0), libjxl0.11 (>= 0.11.0), librsvg2-2 (>= 2.52.5)	libheif-plugin-aomenc | libheif-plugin-rav1e | libheif-plugin-svtenc
glycin-thumbnailers	glycin-loaders (>= 2~), libc6 (>= 2.34), libgcc-s1 (>= 4.2), libglib2.0-0t64 (>= 2.42.0), libglycin-2-0 (>= 2.0~beta)	
grep		
gsettings-desktop-schemas	dconf-gsettings-backend | gsettings-backend, user-session-migration	python3, python3-gi
gtk-update-icon-cache	libc6 (>= 2.38), libgdk-pixbuf-2.0-0 (>= 2.22.0), libglib2.0-0t64 (>= 2.80.0)	
gzip		
hicolor-icon-theme		
hostname		
htop	libc6 (>= 2.38), libncursesw6 (>= 6), libtinfo6 (>= 6), libunwind8	
ibus-gtk3	libc6 (>= 2.4), libglib2.0-0t64 (>= 2.80.0), libibus-1.0-5 (>= 1.5.33), libpango-1.0-0 (>= 1.14.0)	
imagemagick	imagemagick-7.q16 (>= 8:6.9.2.10+dfsg-2~)	
imagemagick-7-common		
imagemagick-7.q16	libc6 (>= 2.34), libmagickcore-7.q16-10 (>= 8:7.1.1.21), libmagickwand-7.q16-10 (>= 8:7.1.1.21), hicolor-icon-theme	libmagickcore-7.q16-10-extra, ghostscript, netpbm
init-system-helpers		
jq	libjq1 (= 1.8.2-1), libc6 (>= 2.38), libonig5 (>= 6.8.1)	
krb5-locales		
less	libc6 (>= 2.34), libtinfo6 (>= 6)	
lib32gcc-s1	gcc-16-base (= 16.2.0-1), libc6-i386 (>= 2.42)	
lib32stdc++6	gcc-16-base (= 16.2.0-1), lib32gcc-s1 (>= 16.2.0-1), libc6-i386 (>= 2.42)	
libaacs0	libc6 (>= 2.33), libgcrypt20 (>= 1.11.0)	libbdplus0
libabsl20260526	libc6 (>= 2.38), libgcc-s1 (>= 3.4), libstdc++6 (>= 13.1)	
libacl1	libc6 (>= 2.38)	
libada-url0-3	libc6 (>= 2.32), libgcc-s1 (>= 3.0), libsimdutf33 (>= 8.2.0), libstdc++6 (>= 13.1)	
libaom3	libc6 (>= 2.34)	
libapparmor1	libc6 (>= 2.38)	
libapt-pkg7.0	libbz2-1.0, libc6 (>= 2.38), libgcc-s1 (>= 3.0), liblz4-1 (>= 0.0~r127), liblzma5 (>= 5.1.1alpha+20120614), libssl3t64 (>= 3.0.0), libstdc++6 (>= 14), libsystemd0 (>= 221), libudev1 (>= 183), libxxhash0 (>= 0.8), libzstd1 (>= 1.5.5), zlib1g (>= 1:1.2.2.3)	apt (>= 3.3.2)
libasan8	gcc-16-base (= 16.2.0-1), libc6 (>= 2.34), libgcc-s1 (>= 3.3)	
libasound2-data		alsa-ucm-conf, alsa-topology-conf
libasound2t64	libasound2-data (>= 1.2.16.1-1), libc6 (>= 2.38)	
libass9	libc6 (>= 2.38), libfontconfig1 (>= 2.17.1), libfreetype6 (>= 2.3.5), libfribidi0 (>= 1.0.0), libharfbuzz0b (>= 1.2.6), libunibreak7 (>= 1.0)	
libasyncns0	libc6 (>= 2.34)	
libatk-bridge2.0-0t64	libatk1.0-0t64 (= 2.61.1-1), libatspi2.0-0t64 (= 2.61.1-1), libc6 (>= 2.38), libdbus-1-3 (>= 1.10), libglib2.0-0t64 (>= 2.80.0)	
libatk1.0-0t64	libc6 (>= 2.4), libglib2.0-0t64 (>= 2.80.0), at-spi2-common	
libatomic1	gcc-16-base (= 16.2.0-1), libc6 (>= 2.14)	
libatspi2.0-0t64	libc6 (>= 2.38), libdbus-1-3 (>= 1.10), libglib2.0-0t64 (>= 2.80.0), libx11-6 (>= 2:1.2.99.901), libxi6 (>= 2:1.2.99.4), libxres1 (>= 2:1.2.1)	at-spi2-core (= 2.61.1-1)
libattr1	libc6 (>= 2.4)	
libaudit-common		
libaudit1	libaudit-common (>= 1:4.1.2-1), libc6 (>= 2.38), libcap-ng0 (>= 0.7.9)	
libauthen-sasl-perl	perl:any, libcrypt-urandom-perl	
libavahi-client3	libavahi-common3 (= 0.8-18), libc6 (>= 2.34), libdbus-1-3 (>= 1.10)	
libavahi-common-data		
libavahi-common3	libc6 (>= 2.38), libavahi-common-data (= 0.8-18)	
libavc1394-0	libc6 (>= 2.38), libraw1394-11 (>= 2.1.2)	
libavcodec62	libaom3 (>= 3.2.0), libavutil60 (= 7:8.1.2-2+b3), libc6 (>= 2.35), libcairo2 (>= 1.2.4), libcodec2-1.2 (>= 1.2), libdav1d7 (>= 1.1.0), libglib2.0-0t64 (>= 2.12.0), libgsm1 (>= 1.0.18), libjxl0.11 (>= 0.8.0), liblzma5 (>= 5.1.1alpha+20120614), libmp3lame0 (>= 3.100), libopenjp2-7 (>= 2.1), libopus0 (>= 1.1), librav1e0.8 (>= 0.5.1), librsvg2-2 (>= 2.52.5), libshine3 (>= 3.1.0), libsnappy1v5 (>= 1.2.2), libspeex1 (>= 1.2~), libsvtav1enc4 (>= 4.0.1), libswresample6 (>= 7:8.1.2), libtheoradec2 (>= 1.2), libtheoraenc2 (>= 1.2), libtwolame0 (>= 0.3.10), libva2 (>= 2.9.0), libvorbis0a (>= 1.1.2), libvorbisenc2 (>= 1.1.2), libvpl2 (>= 1:2.16.0), libvpx12 (>= 1.16.0), libwebp7 (>= 1.5.0), libwebpmux3 (>= 1.5.0), libx264-165 (>= 2:0.165.3223+git20250910.0480cb0), libx265-216 (>= 4.2), libxvidcore4 (>= 1.2.2), libzvbi0t64 (>= 0.2.35), zlib1g (>= 1:1.2.0)	
libavdevice62	libasound2t64 (>= 1.0.16), libavc1394-0 (>= 0.5.3), libavcodec62 (>= 7:8.1.2), libavfilter11 (>= 7:8.1.2), libavformat62 (= 7:8.1.2-2+b3), libavutil60 (= 7:8.1.2-2+b3), libc6 (>= 2.34), libcdio-cdda2t64 (>= 10.2+2.0.0), libcdio-paranoia2t64 (>= 10.2+2.0.0), libdc1394-25 (>= 2.2.6), libdrm2 (>= 2.4.101), libiec61883-0 (>= 1.2.0), libjack-jackd2-0 (>= 1.9.10+20150825) | libjack-0.125, libopenal1 (>= 1.14), libpulse0 (>= 0.99.1), libraw1394-11 (>= 2.1.2), libx11-6, libxcb-shape0, libxcb-shm0, libxcb-xfixes0, libxcb1, libxext6, libxv1 (>= 2:1.0.13)	
libavfilter11	libass9 (>= 1:0.15.0), libavcodec62 (= 7:8.1.2-2+b3), libavformat62 (>= 7:8.1.2), libavutil60 (= 7:8.1.2-2+b3), libbs2b0 (>= 3.1.0+dfsg), libc6 (>= 2.38), libflite1 (>= 1.4-release-9~), libfontconfig1 (>= 2.12.6), libfreetype6 (>= 2.2.1), libfribidi0 (>= 0.19.2), libharfbuzz0b (>= 1.6.0), liblilv-0-0 (>= 0.14.2~dfsg0), libmysofa1 (>= 0.7~), libopenmpt0t64 (>= 0.2.7025~beta20.1), libplacebo360 (>= 7.360.0), librubberband3 (>= 4.0.0+dfsg), libstdc++6 (>= 13.1), libswresample6 (>= 7:8.1.2), libswscale9 (>= 7:8.1.2), libva2 (>= 1.7.3), libvidstab1.2 (>= 1.1.1), libvpl2 (>= 1:2.16.0), libzimg2 (>= 0.3.1), libzmq5 (>= 3.2.3+dfsg), ocl-icd-libopencl1 | libopencl1, ocl-icd-libopencl1 (>= 1.0) | libopencl-1.2-1, zlib1g (>= 1:1.1.4)	
libavformat62	libavcodec62 (= 7:8.1.2-2+b3), libavutil60 (= 7:8.1.2-2+b3), libbluray4 (>= 1:0.2.2), libbz2-1.0, libc6 (>= 2.35), libchromaprint1 (>= 1.3.2), libdvdnav4 (>= 6.1.0), libdvdread8t64 (>= 6.1.0), libgme0 (>= 0.5.5), libgnutls30t64 (>= 3.8.4), libopenmpt0t64 (>= 0.3.0), librabbitmq4 (>= 0.6.0), librist4 (>= 0.2.18+dfsg), libsrt1.5-gnutls (>= 1.5.6), libssh-4 (>= 0.8.0), libxml2-16 (>= 2.14.1), libzmq5 (>= 4.0.1+dfsg), zlib1g (>= 1:1.2.0.2)	
libavutil60	libc6 (>= 2.35), libdrm2 (>= 2.4.66), libva-drm2 (>= 1.3), libva-x11-2 (>= 1.3), libva2 (>= 2.21.0), libvdpau1 (>= 0.2), libvpl2 (>= 1:2.16.0), libx11-6, ocl-icd-libopencl1 | libopencl1, ocl-icd-libopencl1 (>= 1.0) | libopencl-1.2-1, zlib1g (>= 1:1.1.4)	
libbdplus0	libc6 (>= 2.33), libgcrypt20 (>= 1.12.0), libgpg-error0 (>= 1.14)	libaacs0
